Job 236: Waiting time = 2.5024901279248297 | Resolution time = 0.000595741905272007 | Resolution type = None
Job 237: Waiting time = 2.3109581507742405 | Resolution time = 0.0006361990235745907 | Resolution type = None
Job 238: Waiting time = 2.1115552578121424 | Resolution time = 0.0005906922742724419 | Resolution type = None
Job 239: Waiting time = 1.8990243379957974 | Resolution time = 0.0006492938846349716 | Resolution type = None
Job 240: Waiting time = 1.695962468162179 | Resolution time = 0.0006354968063533306 | Resolution type = None
Job 241: Waiting time = 1.5006955326534808 | Resolution time = 0.0005905539728701115 | Resolution type = None
Job 242: Waiting time = 1.2960205897688866 | Resolution time = 0.0005980539135634899 | Resolution type = None
Job 243: Waiting time = 1.1179681769572198 | Resolution time = 0.000551365315914154 | Resolution type = None
Job 244: Waiting time = 0.9281957619823515 | Resolution time = 0.0005759033374488354 | Resolution type = None
Job 245: Waiting time = 0.7078164489939809 | Resolution time = 0.0005759308114647865 | Resolution type = None
Job 246: Waiting time = 0.5054361522197723 | Resolution time = 0.0006404793821275234 | Resolution type = None
Job 247: Waiting time = 0.3060377826914191 | Resolution time = 0.0006579309701919556 | Resolution type = None
Job 248: Waiting time = 0.11521674832329154 | Resolution time = 0.000535293947905302 | Resolution type = None
Job 249: Waiting time = 0.0007586968131363392 | Resolution time = 0.0007427707314491272 | Resolution type = None
Job 250: Waiting time = 0.0008135950192809105 | Resolution time = 0.0007939101196825504 | Resolution type = None
Job 251: Waiting time = 0.000796543899923563 | Resolution time = 0.0007815840654075146 | Resolution type = None
Job 252: Waiting time = 0.0008390187285840511 | Resolution time = 0.0008087474852800369 | Resolution type = None
Job 253: Waiting time = 0.0008928477764129639 | Resolution time = 0.0007689227350056171 | Resolution type = None
Job 254: Waiting time = 0.0007569203153252602 | Resolution time = 0.0007417546585202217 | Resolution type = None
Job 255: Waiting time = 0.0007857372984290123 | Resolution time = 0.0007690489292144775 | Resolution type = None
Job 256: Waiting time = 0.0007404540665447712 | Resolution time = 0.0007269913330674171 | Resolution type = None
Normal period 4 ended!

----- VACATION Started -----
Start time: 52.11432955600321
Duration: 11.869068077765405
Jobs in the system: 57
------ VACATION ENDED ------

--- Normal Period 5 starts... ---
Job 257: Waiting time = 11.68008908815682 | Resolution time = 0.0008131451904773712 | Resolution type = None
Job 258: Waiting time = 11.48366937180981 | Resolution time = 0.0006693648174405098 | Resolution type = None
Job 259: Waiting time = 11.286725194193423 | Resolution time = 0.0006063496693968773 | Resolution type = None
Job 260: Waiting time = 11.088103988673538 | Resolution time = 0.0006381352432072163 | Resolution type = None
Job 261: Waiting time = 10.862955380231142 | Resolution time = 0.0006073908880352974 | Resolution type = None
Job 262: Waiting time = 10.6816417388618 | Resolution time = 0.0006458358839154243 | Resolution type = None
Job 263: Waiting time = 10.467642126604915 | Resolution time = 0.0006883558817207813 | Resolution type = None
Job 264: Waiting time = 10.239121045451611 | Resolution time = 0.000679288525134325 | Resolution type = None
Job 265: Waiting time = 10.053685231134295 | Resolution time = 0.000590004026889801 | Resolution type = None
Job 266: Waiting time = 9.855657528154552 | Resolution time = 0.0005983081646263599 | Resolution type = None
Job 267: Waiting time = 9.639395131729543 | Resolution time = 0.0005650175735354424 | Resolution type = None
Job 268: Waiting time = 9.411414870992303 | Resolution time = 0.0006620674394071102 | Resolution type = None
Job 269: Waiting time = 9.204986514989287 | Resolution time = 0.0006720703095197678 | Resolution type = None
Job 270: Waiting time = 8.999421704094857 | Resolution time = 0.0006135501898825169 | Resolution type = None
Job 271: Waiting time = 8.79810564685613 | Resolution time = 0.0006536422297358513 | Resolution type = None
Job 272: Waiting time = 8.587980088312179 | Resolution time = 0.0005950527265667915 | Resolution type = None
Job 273: Waiting time = 8.336111770011485 | Resolution time = 0.0006210291758179665 | Resolution type = None
Job 274: Waiting time = 8.11632171086967 | Resolution time = 0.0005757682956755161 | Resolution type = None
Job 275: Waiting time = 7.936140312347561 | Resolution time = 0.0006212987937033176 | Resolution type = None
Job 276: Waiting time = 7.72600335907191 | Resolution time = 0.0006647487170994282 | Resolution type = None
Job 277: Waiting time = 7.52381893992424 | Resolution time = 0.0006260457448661327 | Resolution type = None
Job 278: Waiting time = 7.3008777210488915 | Resolution time = 0.0006318031810224056 | Resolution type = None
Job 279: Waiting time = 7.085524366702884 | Resolution time = 0.0007568560540676117 | Resolution type = None
Job 280: Waiting time = 6.856000381056219 | Resolution time = 0.0006551733240485191 | Resolution type = None
Job 281: Waiting time = 6.648816010914743 | Resolution time = 0.0006938828155398369 | Resolution type = None
Job 282: Waiting time = 6.435092429164797 | Resolution time = 0.0006432747468352318 | Resolution type = None
Job 283: Waiting time = 6.249171887058765 | Resolution time = 0.0006305300630629063 | Resolution type = None
Job 284: Waiting time = 6.051421271171421 | Resolution time = 0.0006255414336919785 | Resolution type = None
Job 285: Waiting time = 5.870517411734909 | Resolution time = 0.0006411708891391754 | Resolution type = None
Job 286: Waiting time = 5.6798991076648235 | Resolution time = 0.000656401738524437 | Resolution type = None
